Year,GEO,Genre,Occupation,UOM,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1999,Canada,"Golden-oldies, rock music",Middle manager,Percent,15.2,,,,1
1999,Canada,"Golden-oldies, rock music","Store owner, self employed, contractor",Percent,13.2,,,,1
1999,Canada,"Golden-oldies, rock music",Senior manager or executive,Percent,10.9,,,,1
1999,Canada,"Golden-oldies, rock music",Professional,Percent,10.5,,,,1
1999,Canada,"Golden-oldies, rock music",Not working,Percent,7.5,,,,1
1999,Canada,"Golden-oldies, rock music",Occupation unknown,Percent,8.9,,,,1
1999,Canada,Middle-of-the-road music,General labourer,Percent,1.7,,,,1
1999,Canada,Middle-of-the-road music,Service industry worker,Percent,0.7,,,,1
1999,Canada,Middle-of-the-road music,"Farmer, farm worker",Percent,2.4,,,,1
1999,Canada,Middle-of-the-road music,Fisheries worker,Percent,3.1,,,,1
1999,Canada,Middle-of-the-road music,Skilled tradesperson,Percent,1.6,,,,1
1999,Canada,Middle-of-the-road music,Skilled service worker,Percent,2.8,,,,1
1999,Canada,Middle-of-the-road music,Technical worker,Percent,1.8,,,,1
1999,Canada,Middle-of-the-road music,Clerical and related worker,Percent,1.2,,,,1
1999,Canada,Middle-of-the-road music,"Artistic, literary, recreational worker",Percent,1.6,,,,1
1999,Canada,Middle-of-the-road music,Sales worker,Percent,1.2,,,,1
1999,Canada,Middle-of-the-road music,Middle manager,Percent,0.7,,,,1
1999,Canada,Middle-of-the-road music,"Store owner, self employed, contractor",Percent,1.8,,,,1
1999,Canada,Middle-of-the-road music,Senior manager or executive,Percent,2.1,,,,1
1999,Canada,Middle-of-the-road music,Professional,Percent,0.9,,,,1
1999,Canada,Middle-of-the-road music,Not working,Percent,2.3,,,,1
1999,Canada,Middle-of-the-road music,Occupation unknown,Percent,2.5,,,,1
1999,Canada,Other radio station formats,General labourer,Percent,6.1,,,,1
1999,Canada,Other radio station formats,Service industry worker,Percent,9.3,,,,1
1999,Canada,Other radio station formats,"Farmer, farm worker",Percent,5.3,,,,1
1999,Canada,Other radio station formats,Fisheries worker,Percent,4.6,,,,1
1999,Canada,Other radio station formats,Skilled tradesperson,Percent,6.3,,,,1
1999,Canada,Other radio station formats,Skilled service worker,Percent,4.4,,,,1
1999,Canada,Other radio station formats,Technical worker,Percent,5.1,,,,1
1999,Canada,Other radio station formats,Clerical and related worker,Percent,4.2,,,,1
1999,Canada,Other radio station formats,"Artistic, literary, recreational worker",Percent,5.5,,,,1
1999,Canada,Other radio station formats,Sales worker,Percent,8.6,,,,1
1999,Canada,Other radio station formats,Middle manager,Percent,4.5,,,,1
1999,Canada,Other radio station formats,"Store owner, self employed, contractor",Percent,6.9,,,,1
1999,Canada,Other radio station formats,Senior manager or executive,Percent,7.6,,,,1
1999,Canada,Other radio station formats,Professional,Percent,7.5,,,,1
1999,Canada,Other radio station formats,Not working,Percent,7.4,,,,1
1999,Canada,Other radio station formats,Occupation unknown,Percent,9.1,,,,1
1999,Canada,Sports radio format,General labourer,Percent,0.0,,,,1
1999,Canada,Sports radio format,Service industry worker,Percent,0.0,,,,1
1999,Canada,Sports radio format,"Farmer, farm worker",Percent,0.0,,,,1
1999,Canada,Sports radio format,Fisheries worker,Percent,0.0,,,,1
1999,Canada,Sports radio format,Skilled tradesperson,Percent,0.1,,,,1
1999,Canada,Sports radio format,Skilled service worker,Percent,0.0,,,,1
1999,Canada,Sports radio format,Technical worker,Percent,0.1,,,,1
1999,Canada,Sports radio format,Clerical and related worker,Percent,0.1,,,,1
1999,Canada,Sports radio format,"Artistic, literary, recreational worker",Percent,0.2,,,,1
1999,Canada,Sports radio format,Sales worker,Percent,0.0,,,,1
1999,Canada,Sports radio format,Middle manager,Percent,0.1,,,,1
1999,Canada,Sports radio format,"Store owner, self employed, contractor",Percent,0.2,,,,1
1999,Canada,Sports radio format,Senior manager or executive,Percent,0.1,,,,1
1999,Canada,Sports radio format,Professional,Percent,0.1,,,,1
1999,Canada,Sports radio format,Not working,Percent,0.0,,,,1
1999,Canada,Sports radio format,Occupation unknown,Percent,0.1,,,,1
1999,Canada,Talk radio format,General labourer,Percent,7.0,,,,1
1999,Canada,Talk radio format,Service industry worker,Percent,5.1,,,,1
1999,Canada,Talk radio format,"Farmer, farm worker",Percent,5.7,,,,1
1999,Canada,Talk radio format,Fisheries worker,Percent,8.1,,,,1
1999,Canada,Talk radio format,Skilled tradesperson,Percent,6.7,,,,1
1999,Canada,Talk radio format,Skilled service worker,Percent,6.1,,,,1
1999,Canada,Talk radio format,Technical worker,Percent,6.8,,,,1
1999,Canada,Talk radio format,Clerical and related worker,Percent,7.3,,,,1
1999,Canada,Talk radio format,"Artistic, literary, recreational worker",Percent,11.5,,,,1
1999,Canada,Talk radio format,Sales worker,Percent,7.6,,,,1
1999,Canada,Talk radio format,Middle manager,Percent,8.2,,,,1
1999,Canada,Talk radio format,"Store owner, self employed, contractor",Percent,9.8,,,,1
1999,Canada,Talk radio format,Senior manager or executive,Percent,10.6,,,,1
1999,Canada,Talk radio format,Professional,Percent,8.2,,,,1
1999,Canada,Talk radio format,Not working,Percent,16.8,,,,1
1999,Canada,Talk radio format,Occupation unknown,Percent,15.8,,,,1
1999,Canada,United States radio stations,General labourer,Percent,5.2,,,,1
1999,Canada,United States radio stations,Service industry worker,Percent,8.1,,,,1
1999,Canada,United States radio stations,"Farmer, farm worker",Percent,3.3,,,,1
1999,Canada,United States radio stations,Fisheries worker,Percent,1.8,,,,1
1999,Canada,United States radio stations,Skilled tradesperson,Percent,4.7,,,,1
1999,Canada,United States radio stations,Skilled service worker,Percent,2.8,,,,1
1999,Canada,United States radio stations,Technical worker,Percent,2.7,,,,1
1999,Canada,United States radio stations,Clerical and related worker,Percent,3.7,,,,1
1999,Canada,United States radio stations,"Artistic, literary, recreational worker",Percent,2.9,,,,1
1999,Canada,United States radio stations,Sales worker,Percent,3.1,,,,1
1999,Canada,United States radio stations,Middle manager,Percent,2.9,,,,1
1999,Canada,United States radio stations,"Store owner, self employed, contractor",Percent,2.7,,,,1
1999,Canada,United States radio stations,Senior manager or executive,Percent,2.5,,,,1
1999,Canada,United States radio stations,Professional,Percent,3.5,,,,1
1999,Canada,United States radio stations,Not working,Percent,3.5,,,,1
1999,Canada,United States radio stations,Occupation unknown,Percent,3.3,,,,1
2000,Canada,Adult contemporary music,General labourer,Percent,26.3,,,,1
2000,Canada,Adult contemporary music,Service industry worker,Percent,20.3,,,,1
2000,Canada,Adult contemporary music,"Farmer, farm worker",Percent,31.5,,,,1
2000,Canada,Adult contemporary music,Fisheries worker,Percent,16.8,,,,1
2000,Canada,Adult contemporary music,Skilled tradesperson,Percent,28.7,,,,1
2000,Canada,Adult contemporary music,Skilled service worker,Percent,38.7,,,,1
2000,Canada,Adult contemporary music,Technical worker,Percent,28.5,,,,1
2000,Canada,Adult contemporary music,Clerical and related worker,Percent,22.1,,,,1
2000,Canada,Adult contemporary music,"Artistic, literary, recreational worker",Percent,33.0,,,,1
2000,Canada,Adult contemporary music,Sales worker,Percent,17.8,,,,1
2000,Canada,Adult contemporary music,Middle manager,Percent,31.7,,,,1
2000,Canada,Adult contemporary music,"Store owner, self employed, contractor",Percent,22.2,,,,1
2000,Canada,Adult contemporary music,Senior manager or executive,Percent,27.5,,,,1
2000,Canada,Adult contemporary music,Professional,Percent,25.0,,,,1
2000,Canada,Adult contemporary music,Not working,Percent,19.5,,,,1
2000,Canada,Adult contemporary music,Occupation unknown,Percent,18.5,,,,1
2000,Canada,Album-oriented-rock music,General labourer,Percent,14.8,,,,1
2000,Canada,Album-oriented-rock music,Service industry worker,Percent,11.7,,,,1
2000,Canada,Album-oriented-rock music,"Farmer, farm worker",Percent,9.4,,,,1
2000,Canada,Album-oriented-rock music,Fisheries worker,Percent,2.9,,,,1
2000,Canada,Album-oriented-rock music,Skilled tradesperson,Percent,9.4,,,,1
2000,Canada,Album-oriented-rock music,Skilled service worker,Percent,7.5,,,,1
2000,Canada,Album-oriented-rock music,Technical worker,Percent,11.0,,,,1
2000,Canada,Album-oriented-rock music,Clerical and related worker,Percent,17.4,,,,1
2000,Canada,Album-oriented-rock music,"Artistic, literary, recreational worker",Percent,11.0,,,,1
2000,Canada,Album-oriented-rock music,Sales worker,Percent,7.3,,,,1
2000,Canada,Album-oriented-rock music,Middle manager,Percent,11.0,,,,1
2000,Canada,Album-oriented-rock music,"Store owner, self employed, contractor",Percent,7.7,,,,1
2000,Canada,Album-oriented-rock music,Senior manager or executive,Percent,6.4,,,,1
2000,Canada,Album-oriented-rock music,Professional,Percent,8.8,,,,1
2000,Canada,Album-oriented-rock music,Not working,Percent,3.3,,,,1
2000,Canada,Album-oriented-rock music,Occupation unknown,Percent,4.5,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),General labourer,Percent,1.6,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Service industry worker,Percent,7.8,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),"Farmer, farm worker",Percent,2.1,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Fisheries worker,Percent,8.1,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Skilled tradesperson,Percent,6.3,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Skilled service worker,Percent,3.7,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Technical worker,Percent,8.1,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Clerical and related worker,Percent,3.3,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),"Artistic, literary, recreational worker",Percent,6.3,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Sales worker,Percent,3.7,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Middle manager,Percent,7.1,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),"Store owner, self employed, contractor",Percent,11.5,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Senior manager or executive,Percent,16.6,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Professional,Percent,22.4,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Not working,Percent,7.1,,,,1
2000,Canada,Canadian Broadcasting Corporation (CBC),Occupation unknown,Percent,13.4,,,,1
2000,Canada,Contemporary music,General labourer,Percent,8.4,,,,1
2000,Canada,Contemporary music,Service industry worker,Percent,2.4,,,,1
2000,Canada,Contemporary music,"Farmer, farm worker",Percent,9.9,,,,1
2000,Canada,Contemporary music,Fisheries worker,Percent,4.6,,,,1
2000,Canada,Contemporary music,Skilled tradesperson,Percent,7.8,,,,1
2000,Canada,Contemporary music,Skilled service worker,Percent,8.8,,,,1
2000,Canada,Contemporary music,Technical worker,Percent,7.6,,,,1
2000,Canada,Contemporary music,Clerical and related worker,Percent,7.3,,,,1
2000,Canada,Contemporary music,"Artistic, literary, recreational worker",Percent,7.0,,,,1
2000,Canada,Contemporary music,Sales worker,Percent,6.2,,,,1
2000,Canada,Contemporary music,Middle manager,Percent,7.1,,,,1
2000,Canada,Contemporary music,"Store owner, self employed, contractor",Percent,7.1,,,,1
2000,Canada,Contemporary music,Senior manager or executive,Percent,5.9,,,,1
2000,Canada,Contemporary music,Professional,Percent,5.6,,,,1
2000,Canada,Contemporary music,Not working,Percent,7.1,,,,1
2000,Canada,Contemporary music,Occupation unknown,Percent,7.5,,,,1
2000,Canada,Country music,General labourer,Percent,12.2,,,,1
2000,Canada,Country music,Service industry worker,Percent,25.6,,,,1
2000,Canada,Country music,"Farmer, farm worker",Percent,9.4,,,,1
2000,Canada,Country music,Fisheries worker,Percent,43.2,,,,1
2000,Canada,Country music,Skilled tradesperson,Percent,10.6,,,,1
2000,Canada,Country music,Skilled service worker,Percent,9.1,,,,1
2000,Canada,Country music,Technical worker,Percent,7.4,,,,1
2000,Canada,Country music,Clerical and related worker,Percent,13.9,,,,1
2000,Canada,Country music,"Artistic, literary, recreational worker",Percent,8.3,,,,1
2000,Canada,Country music,Sales worker,Percent,2.9,,,,1
2000,Canada,Country music,Middle manager,Percent,8.7,,,,1
2000,Canada,Country music,"Store owner, self employed, contractor",Percent,10.7,,,,1
2000,Canada,Country music,Senior manager or executive,Percent,5.6,,,,1
2000,Canada,Country music,Professional,Percent,5.0,,,,1
2000,Canada,Country music,Not working,Percent,21.6,,,,1
2000,Canada,Country music,Occupation unknown,Percent,11.9,,,,1
2000,Canada,Dance music,General labourer,Percent,2.4,,,,1
2000,Canada,Dance music,Service industry worker,Percent,0.0,,,,1
2000,Canada,Dance music,"Farmer, farm worker",Percent,1.4,,,,1
2000,Canada,Dance music,Fisheries worker,Percent,0.8,,,,1
2000,Canada,Dance music,Skilled tradesperson,Percent,1.1,,,,1
2000,Canada,Dance music,Skilled service worker,Percent,1.1,,,,1
2000,Canada,Dance music,Technical worker,Percent,1.3,,,,1
2000,Canada,Dance music,Clerical and related worker,Percent,0.5,,,,1
2000,Canada,Dance music,"Artistic, literary, recreational worker",Percent,1.4,,,,1
2000,Canada,Dance music,Sales worker,Percent,0.6,,,,1
2000,Canada,Dance music,Middle manager,Percent,1.2,,,,1
2000,Canada,Dance music,"Store owner, self employed, contractor",Percent,1.0,,,,1
2000,Canada,Dance music,Senior manager or executive,Percent,1.3,,,,1
2000,Canada,Dance music,Professional,Percent,0.7,,,,1
2000,Canada,Dance music,Not working,Percent,0.6,,,,1
2000,Canada,Dance music,Occupation unknown,Percent,1.4,,,,1
2000,Canada,Easy listening music,General labourer,Percent,1.3,,,,1
2000,Canada,Easy listening music,Service industry worker,Percent,0.7,,,,1
2000,Canada,Easy listening music,"Farmer, farm worker",Percent,2.7,,,,1
2000,Canada,Easy listening music,Fisheries worker,Percent,1.2,,,,1
2000,Canada,Easy listening music,Skilled tradesperson,Percent,2.7,,,,1
2000,Canada,Easy listening music,Skilled service worker,Percent,2.4,,,,1
2000,Canada,Easy listening music,Technical worker,Percent,2.4,,,,1
2000,Canada,Easy listening music,Clerical and related worker,Percent,0.9,,,,1
2000,Canada,Easy listening music,"Artistic, literary, recreational worker",Percent,2.8,,,,1
2000,Canada,Easy listening music,Sales worker,Percent,2.9,,,,1
2000,Canada,Easy listening music,Middle manager,Percent,2.4,,,,1
2000,Canada,Easy listening music,"Store owner, self employed, contractor",Percent,2.1,,,,1
2000,Canada,Easy listening music,Senior manager or executive,Percent,3.4,,,,1
2000,Canada,Easy listening music,Professional,Percent,2.2,,,,1
2000,Canada,Easy listening music,Not working,Percent,1.8,,,,1
2000,Canada,Easy listening music,Occupation unknown,Percent,2.3,,,,1
2000,Canada,"Golden-oldies, rock music",General labourer,Percent,17.4,,,,1
2000,Canada,"Golden-oldies, rock music",Service industry worker,Percent,13.0,,,,1
2000,Canada,"Golden-oldies, rock music","Farmer, farm worker",Percent,18.5,,,,1
2000,Canada,"Golden-oldies, rock music",Fisheries worker,Percent,8.5,,,,1
2000,Canada,"Golden-oldies, rock music",Skilled tradesperson,Percent,14.1,,,,1
2000,Canada,"Golden-oldies, rock music",Skilled service worker,Percent,14.2,,,,1
2000,Canada,"Golden-oldies, rock music",Technical worker,Percent,15.5,,,,1
2000,Canada,"Golden-oldies, rock music",Clerical and related worker,Percent,16.4,,,,1
2000,Canada,"Golden-oldies, rock music","Artistic, literary, recreational worker",Percent,11.6,,,,1
2000,Canada,"Golden-oldies, rock music",Sales worker,Percent,11.2,,,,1
2000,Canada,"Golden-oldies, rock music",Middle manager,Percent,13.3,,,,1
2000,Canada,"Golden-oldies, rock music","Store owner, self employed, contractor",Percent,14.2,,,,1
2000,Canada,"Golden-oldies, rock music",Senior manager or executive,Percent,10.2,,,,1
2000,Canada,"Golden-oldies, rock music",Professional,Percent,9.9,,,,1
2000,Canada,"Golden-oldies, rock music",Not working,Percent,15.1,,,,1
2000,Canada,"Golden-oldies, rock music",Occupation unknown,Percent,13.7,,,,1
2000,Canada,Middle-of-the-road music,General labourer,Percent,1.4,,,,1
2000,Canada,Middle-of-the-road music,Service industry worker,Percent,0.0,,,,1
2000,Canada,Middle-of-the-road music,"Farmer, farm worker",Percent,1.6,,,,1
2000,Canada,Middle-of-the-road music,Fisheries worker,Percent,2.0,,,,1
2000,Canada,Middle-of-the-road music,Skilled tradesperson,Percent,0.3,,,,1
2000,Canada,Middle-of-the-road music,Skilled service worker,Percent,1.3,,,,1
2000,Canada,Middle-of-the-road music,Technical worker,Percent,1.1,,,,1
2000,Canada,Middle-of-the-road music,Clerical and related worker,Percent,1.5,,,,1
2000,Canada,Middle-of-the-road music,"Artistic, literary, recreational worker",Percent,0.5,,,,1
2000,Canada,Middle-of-the-road music,Sales worker,Percent,0.8,,,,1
2000,Canada,Middle-of-the-road music,Middle manager,Percent,0.6,,,,1
2000,Canada,Middle-of-the-road music,"Store owner, self employed, contractor",Percent,1.3,,,,1
2000,Canada,Middle-of-the-road music,Senior manager or executive,Percent,0.9,,,,1
2000,Canada,Middle-of-the-road music,Professional,Percent,0.7,,,,1
2000,Canada,Middle-of-the-road music,Not working,Percent,0.4,,,,1
2000,Canada,Middle-of-the-road music,Occupation unknown,Percent,1.7,,,,1
2000,Canada,Other radio station formats,General labourer,Percent,4.5,,,,1
2000,Canada,Other radio station formats,Service industry worker,Percent,14.7,,,,1
2000,Canada,Other radio station formats,"Farmer, farm worker",Percent,5.8,,,,1
2000,Canada,Other radio station formats,Fisheries worker,Percent,1.8,,,,1
2000,Canada,Other radio station formats,Skilled tradesperson,Percent,6.3,,,,1
2000,Canada,Other radio station formats,Skilled service worker,Percent,5.2,,,,1
2000,Canada,Other radio station formats,Technical worker,Percent,5.6,,,,1
2000,Canada,Other radio station formats,Clerical and related worker,Percent,4.8,,,,1
2000,Canada,Other radio station formats,"Artistic, literary, recreational worker",Percent,4.0,,,,1
2000,Canada,Other radio station formats,Sales worker,Percent,11.1,,,,1
2000,Canada,Other radio station formats,Middle manager,Percent,4.3,,,,1
2000,Canada,Other radio station formats,"Store owner, self employed, contractor",Percent,5.9,,,,1
2000,Canada,Other radio station formats,Senior manager or executive,Percent,8.0,,,,1
2000,Canada,Other radio station formats,Professional,Percent,7.1,,,,1
2000,Canada,Other radio station formats,Not working,Percent,8.3,,,,1
2000,Canada,Other radio station formats,Occupation unknown,Percent,7.6,,,,1
2000,Canada,Sports radio format,General labourer,Percent,0.5,,,,1
2000,Canada,Sports radio format,Service industry worker,Percent,0.0,,,,1
2000,Canada,Sports radio format,"Farmer, farm worker",Percent,0.3,,,,1
2000,Canada,Sports radio format,Fisheries worker,Percent,0.2,,,,1
2000,Canada,Sports radio format,Skilled tradesperson,Percent,0.9,,,,1
2000,Canada,Sports radio format,Skilled service worker,Percent,0.3,,,,1
2000,Canada,Sports radio format,Technical worker,Percent,0.6,,,,1
2000,Canada,Sports radio format,Clerical and related worker,Percent,0.7,,,,1
2000,Canada,Sports radio format,"Artistic, literary, recreational worker",Percent,1.3,,,,1
2000,Canada,Sports radio format,Sales worker,Percent,0.4,,,,1
2000,Canada,Sports radio format,Middle manager,Percent,1.1,,,,1
2000,Canada,Sports radio format,"Store owner, self employed, contractor",Percent,1.0,,,,1
2000,Canada,Sports radio format,Senior manager or executive,Percent,1.7,,,,1
2000,Canada,Sports radio format,Professional,Percent,1.1,,,,1
2000,Canada,Sports radio format,Not working,Percent,0.0,,,,1
2000,Canada,Sports radio format,Occupation unknown,Percent,0.4,,,,1
2000,Canada,Talk radio format,General labourer,Percent,4.9,,,,1
2000,Canada,Talk radio format,Service industry worker,Percent,1.8,,,,1
2000,Canada,Talk radio format,"Farmer, farm worker",Percent,4.5,,,,1
2000,Canada,Talk radio format,Fisheries worker,Percent,8.4,,,,1
2000,Canada,Talk radio format,Skilled tradesperson,Percent,7.0,,,,1
